m,p,t,Re,cl1,cd1,cl2,cd2,cl3,cd3,clmax,clmin
0.0,0.0,0.09,700000.0,-1.1256743718592965,0.035566281407035175,0.001537688442211028,0.0045852763819095475,1.127329648241206,0.03577809045226132,1.127329648241206,-1.1256743718592965
0.0,0.0,0.09,900000.0,-1.1736929648241206,0.0363260301507537,-0.0122050251256282,0.0043749748743718,1.1730798994974876,0.0323970351758793,1.1740929648241207,-1.1736929648241206
0.0,0.0,0.09,1000000.0,-1.2300417085427136,0.03389216080402,0.0093442211055274,0.0043235175879396,1.2306361809045228,0.0337583417085427,1.2306361809045228,-1.2300417085427136
0.0,0.0,0.1,300000.0,-1.010229648241206,0.0417213065326633,0.008773869346734,0.0074760301507537,0.9993944723618092,0.0350657788944724,1.0093261306532664,-1.010229648241206
0.0,0.0,0.11,200000.0,-1.019636180904523,0.0419071356783919,-0.3038085427135678,0.0099171859296482,1.0059859296482412,0.0364292462311557,1.0197829145728643,-1.019636180904523
0.0,0.0,0.11,1000000.0,-1.3359964824120605,0.0337307537688442,0.0128201005025123,0.0050656783919597,1.3363994974874371,0.0294016582914572,1.3368336683417086,-1.3359964824120605
0.0,0.0,0.14,400000.0,-1.2403497487437185,0.0520624623115578,0.0015738693467336406,0.007412412060301507,1.2225025125628142,0.038181608040200994,1.242542713567839,-1.2403497487437185
0.0,0.0,0.14,500000.0,-1.2654542713567838,0.04998693467336684,0.012687437185929422,0.006952060301507537,1.249880904522613,0.033492964824120584,1.267553768844221,-1.2654542713567838
0.0,0.0,0.14,1000000.0,-1.4194271356783918,0.0360422613065326,-0.0125748743718594,0.0060469346733668,1.421307537688442,0.0360061809045226,1.421307537688442,-1.4194271356783918
0.0,0.0,0.15,400000.0,-1.2453386934673367,0.0528498492462311,0.0126391959798992,0.007814472361809,1.2236814070351758,0.0373081407035175,1.247454773869347,-1.2453386934673367
0.0,0.0,0.15,500000.0,-1.2723698492462312,0.0476397487437185,0.0031899497487436,0.0073127135678391,1.2529577889447236,0.0336104020100502,1.2752226130653266,-1.2723698492462312
0.0,0.0,0.15,600000.0,-1.3045020100502511,0.045474824120603,0.0042854271356783,0.006973216080402,1.3025396984924624,0.0365272361809045,1.306145728643216,-1.3045020100502511
0.0,0.0,0.15,900000.0,-1.3995778894472362,0.036667336683417075,-0.01310954773869362,0.006464824120603015,1.4016698492462312,0.03661934673366834,1.4016698492462312,-1.3995778894472362
0.0,0.0,0.16,200000.0,-1.2120939698492463,0.04639899497487438,-0.012687437185929795,0.011120150753768843,1.2130939698492462,0.04641567839195979,1.2130939698492462,-1.2120939698492463
0.0,0.0,0.16,700000.0,-1.1692,0.17941,-0.012976884422110702,0.007094824120603015,1.3287422110552765,0.032938944723618045,1.3412165829145728,
0.0,0.0,0.16,900000.0,-1.3981959798994976,0.0356838190954773,0.0131216080402007,0.0067372361809045,1.4002281407035175,0.0356314070351758,1.4007346733668342,-1.3981959798994976
0.0,0.0,0.16,1000000.0,-1.4248251256281408,0.04069452261306533,-0.013193969849246381,0.006633618090452261,1.4140437185929648,0.0342245728643216,1.4274306532663317,-1.4248251256281408
0.0,0.0,0.17,100000.0,-1.1588743718592964,0.0456813567839196,-0.0182834170854273,0.0201260301507537,1.1506020100502512,0.0425267336683416,1.1591407035175878,-1.1588743718592964
0.0,0.0,0.18,100000.0,-1.1430989949748742,0.04366457286432161,0.012310552763818877,0.020565376884422108,1.1272753768844221,0.03947964824120604,1.1477597989949748,-1.1430989949748742
0.0,0.0,0.18,700000.0,-1.3342160804020102,0.047940251256281416,-0.012940703517588095,0.007696030150753768,1.1368472361809046,0.016173869346733663,1.3370396984924622,-1.3342160804020102
0.0,0.0,0.19,100000.0,-1.1443929648241207,0.04378256281407035,-0.016076381909547924,0.02108688442211055,1.1343366834170856,0.03881492462311558,1.1451547738693466,-1.1443929648241207
0.0,0.0,0.19,400000.0,-1.0839306532663318,0.0185257788944723,-0.0125427135678393,0.0093484422110552,1.0841316582914573,0.0185157788944723,1.0841316582914573,-1.0839306532663318
0.0,0.0,0.19,500000.0,-1.1225090452261306,0.0175418592964824,-0.0126391959798996,0.0087372361809045,1.122413065326633,0.0175318592964824,1.122413065326633,-1.1225090452261306
0.0,0.0,0.2,100000.0,-1.144491959798995,0.04752804020100503,0.015364824120602744,0.021458743718592962,1.1240773869346734,0.03585814070351759,1.1463201005025125,-1.144491959798995
0.0,0.0,0.2,300000.0,-1.0546733668341708,0.0204506030150753,-0.0119045226130654,0.0107704020100502,1.0548844221105529,0.0204406030150753,1.0548844221105529,-1.0546733668341708
0.0,0.0,0.21,500000.0,-1.2435643216080403,0.06430512562814072,-0.012494472361809186,0.009442412060301508,1.1096603015075377,0.01984673366834171,1.2468185929648241,-1.2435643216080403
0.0,0.0,0.21,600000.0,-1.2774829145728643,0.052490452261306525,-0.012590954773869498,0.00894603015075377,1.14871432160804,0.01955293969849245,1.280486432160804,-1.2774829145728643
0.0,0.0,0.22,300000.0,-1.088718592964824,0.0214750753768844,-0.0122170854271358,0.0116536180904522,1.0888195979899498,0.0214550753768844,1.0888195979899498,-1.088718592964824
0.0,0.0,0.22,600000.0,-1.2608402010050253,0.0611380904522613,0.0124703517587937,0.009274824120603,1.1289768844221106,0.0192,1.2641316582914572,-1.2608402010050253
0.0,0.0,0.23,700000.0,-1.2762859296482412,0.05813306532663318,0.012446231155778673,0.009184824120603015,1.1653824120603014,0.02095472361809044,1.2798045226130652,-1.2762859296482412
